start model 0
C:\Users\dozen\AppData\Local\Programs\Python\Python38\lib\site-packages\torch\autograd\__init__.py:130: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  ..\c10\cuda\CUDAFunctions.cpp:100.)
  Variable._execution_engine.run_backward(
99 Average Val Loss: 0.0357, Val Accuracy: 4162/4200 (99.095%)
start model 3
0 Average Val Loss: 0.0767, Val Accuracy: 4098/4200 (97.571%)
1 Average Val Loss: 0.0521, Val Accuracy: 4134/4200 (98.429%)
2 Average Val Loss: 0.0553, Val Accuracy: 4128/4200 (98.286%)
3 Average Val Loss: 0.0443, Val Accuracy: 4141/4200 (98.595%)
4 Average Val Loss: 0.0442, Val Accuracy: 4146/4200 (98.714%)
5 Average Val Loss: 0.0363, Val Accuracy: 4151/4200 (98.833%)
6 Average Val Loss: 0.0335, Val Accuracy: 4154/4200 (98.905%)
7 Average Val Loss: 0.0395, Val Accuracy: 4152/4200 (98.857%)
8 Average Val Loss: 0.0351, Val Accuracy: 4158/4200 (99.000%)
9 Average Val Loss: 0.0305, Val Accuracy: 4162/4200 (99.095%)
10 Average Val Loss: 0.0295, Val Accuracy: 4161/4200 (99.071%)
11 Average Val Loss: 0.0302, Val Accuracy: 4159/4200 (99.024%)
12 Average Val Loss: 0.0312, Val Accuracy: 4161/4200 (99.071%)
13 Average Val Loss: 0.0356, Val Accuracy: 4158/4200 (99.000%)
14 Average Val Loss: 0.0305, Val Accuracy: 4163/4200 (99.119%)
15 Average Val Loss: 0.0298, Val Accuracy: 4160/4200 (99.048%)
16 Average Val Loss: 0.0306, Val Accuracy: 4161/4200 (99.071%)
17 Average Val Loss: 0.0297, Val Accuracy: 4162/4200 (99.095%)
18 Average Val Loss: 0.0300, Val Accuracy: 4161/4200 (99.071%)
19 Average Val Loss: 0.0295, Val Accuracy: 4162/4200 (99.095%)
20 Average Val Loss: 0.0280, Val Accuracy: 4161/4200 (99.071%)
21 Average Val Loss: 0.0291, Val Accuracy: 4162/4200 (99.095%)
22 Average Val Loss: 0.0294, Val Accuracy: 4162/4200 (99.095%)
23 Average Val Loss: 0.0295, Val Accuracy: 4161/4200 (99.071%)
24 Average Val Loss: 0.0285, Val Accuracy: 4162/4200 (99.095%)
25 Average Val Loss: 0.0299, Val Accuracy: 4162/4200 (99.095%)
26 Average Val Loss: 0.0299, Val Accuracy: 4161/4200 (99.071%)
27 Average Val Loss: 0.0295, Val Accuracy: 4163/4200 (99.119%)
28 Average Val Loss: 0.0294, Val Accuracy: 4164/4200 (99.143%)
29 Average Val Loss: 0.0290, Val Accuracy: 4165/4200 (99.167%)
30 Average Val Loss: 0.0294, Val Accuracy: 4165/4200 (99.167%)
31 Average Val Loss: 0.0289, Val Accuracy: 4162/4200 (99.095%)
32 Average Val Loss: 0.0291, Val Accuracy: 4164/4200 (99.143%)
33 Average Val Loss: 0.0294, Val Accuracy: 4161/4200 (99.071%)
